	V1	error	rep	config	gwas_size	test_size	L	type
378	18	0.574955685053906	D16	C1	1000	1000	5500	PC1
379	19	0.434473688124016	D16	C1	1000	1000	9000	PC1
380	20	0.258402097690785	D16	C1	1000	1000	14600	PC1
381	21	0.192251428684842	D16	C1	1000	1000	23600	PC1
382	22	0.105376718316697	D16	C1	1000	1000	38200	PC1
383	23	0.0734134129692476	D16	C1	1000	1000	61800	PC1
384	24	0.0439714634433075	D16	C1	1000	1000	1e+05	PC1
385	1	0.955334876381194	D17	C1	1000	1000	500	FGr
386	2	0.921830549111048	D17	C1	1000	1000	810	FGr
387	3	0.799681088300706	D17	C1	1000	1000	1320	FGr
388	4	0.76491149808816	D17	C1	1000	1000	2100	FGr
389	5	0.737832983081858	D17	C1	1000	1000	3400	FGr
390	6	0.660397358637684	D17	C1	1000	1000	5500	FGr
391	7	0.54075170184628	D17	C1	1000	1000	9000	FGr
392	8	0.410092700119337	D17	C1	1000	1000	14600	FGr
393	9	0.284817009259479	D17	C1	1000	1000	23600	FGr
394	10	0.205186729336494	D17	C1	1000	1000	38200	FGr
395	11	0.136607869346453	D17	C1	1000	1000	61800	FGr
396	12	0.0888355319969554	D17	C1	1000	1000	1e+05	FGr
397	13	0.9966420739213	D17	C1	1000	1000	500	PC1
398	14	0.996230841095206	D17	C1	1000	1000	810	PC1
399	15	0.999053184676957	D17	C1	1000	1000	1320	PC1
400	16	0.924687363998875	D17	C1	1000	1000	2100	PC1
401	17	0.946733122647397	D17	C1	1000	1000	3400	PC1
402	18	0.615250293560543	D17	C1	1000	1000	5500	PC1
403	19	0.420363272798787	D17	C1	1000	1000	9000	PC1
404	20	0.281446875676291	D17	C1	1000	1000	14600	PC1
405	21	0.171290039352913	D17	C1	1000	1000	23600	PC1
406	22	0.105745819404052	D17	C1	1000	1000	38200	PC1
407	23	0.0635734514561973	D17	C1	1000	1000	61800	PC1
408	24	0.0445881459349123	D17	C1	1000	1000	1e+05	PC1
409	1	0.941154965287826	D18	C1	1000	1000	500	FGr
410	2	0.928195281605826	D18	C1	1000	1000	810	FGr
411	3	0.898205768164295	D18	C1	1000	1000	1320	FGr
412	4	0.791704398414294	D18	C1	1000	1000	2100	FGr
413	5	0.748254238455982	D18	C1	1000	1000	3400	FGr
414	6	0.637319099074364	D18	C1	1000	1000	5500	FGr
415	7	0.532452881310124	D18	C1	1000	1000	9000	FGr
416	8	0.370426286937169	D18	C1	1000	1000	14600	FGr
417	9	0.317574268969867	D18	C1	1000	1000	23600	FGr
418	10	0.195618022063466	D18	C1	1000	1000	38200	FGr
419	11	0.129582703135965	D18	C1	1000	1000	61800	FGr
420	12	0.0860370167255531	D18	C1	1000	1000	1e+05	FGr
421	13	0.98289296004934	D18	C1	1000	1000	500	PC1
422	14	0.999758679232764	D18	C1	1000	1000	810	PC1
423	15	0.999502719511017	D18	C1	1000	1000	1320	PC1
424	16	0.958247145778729	D18	C1	1000	1000	2100	PC1
425	17	0.769719219849897	D18	C1	1000	1000	3400	PC1
426	18	0.67751468869337	D18	C1	1000	1000	5500	PC1
427	19	0.424223667014133	D18	C1	1000	1000	9000	PC1
428	20	0.273573750479889	D18	C1	1000	1000	14600	PC1
429	21	0.209109297621664	D18	C1	1000	1000	23600	PC1
430	22	0.111301440610191	D18	C1	1000	1000	38200	PC1
431	23	0.0624646769977296	D18	C1	1000	1000	61800	PC1
432	24	0.0434741032479192	D18	C1	1000	1000	1e+05	PC1
433	1	0.960049299364889	D19	C1	1000	1000	500	FGr
434	2	0.918241912325805	D19	C1	1000	1000	810	FGr
435	3	0.859112798153504	D19	C1	1000	1000	1320	FGr
436	4	0.854442857977683	D19	C1	1000	1000	2100	FGr
437	5	0.752554378985602	D19	C1	1000	1000	3400	FGr
438	6	0.642032509823811	D19	C1	1000	1000	5500	FGr
439	7	0.511094373067935	D19	C1	1000	1000	9000	FGr
440	8	0.364540410075795	D19	C1	1000	1000	14600	FGr
441	9	0.293982064719482	D19	C1	1000	1000	23600	FGr
442	10	0.195399440827252	D19	C1	1000	1000	38200	FGr
443	11	0.137399914619685	D19	C1	1000	1000	61800	FGr
444	12	0.087843835246204	D19	C1	1000	1000	1e+05	FGr
445	13	0.997687331591164	D19	C1	1000	1000	500	PC1
446	14	0.999927300674677	D19	C1	1000	1000	810	PC1
