	FGr	10	35	100	rep	gwas_size	test_size	test	L
153	0.0632353230295939	0.0717614474637223	0.0320709486739605	0.0280269568989638	A11	2160	720	PS	18000
154	0.0660531194590763	0.0745358576633539	0.0328856899419017	0.0288550575452398	A11	2160	720	PS	17000
155	0.0690449219443615	0.0747781249260795	0.0338863824072528	0.0295255741910878	A11	2160	720	PS	16000
156	0.0709761854336819	0.0739687378520252	0.0365440634499018	0.0311785705195971	A11	2160	720	PS	15000
157	0.0791811307139876	0.076909460786303	0.0346456303479519	0.0306243140341921	A11	2160	720	PS	14000
158	0.0891072464615979	0.075892120708098	0.0400989427948484	0.0362042644725034	A11	2160	720	PS	13000
159	0.098381177952922	0.0813516622357999	0.0438765040751494	0.0381230312211033	A11	2160	720	PS	12000
160	0.100184211950698	0.0824958826690092	0.0494448759304716	0.042818354732732	A11	2160	720	PS	11000
161	0.109780647170611	0.0843151851597137	0.0504781972521878	0.0446488757040405	A11	2160	720	PS	10000
162	0.131165535065618	0.0858463859690548	0.055698190350716	0.0488273458264611	A11	2160	720	PS	9000
163	0.129041521436171	0.0927955088648471	0.0642333694764874	0.0548280765387432	A11	2160	720	PS	8000
164	0.139966405101579	0.0966854418946459	0.0653306347193201	0.0561599146263538	A11	2160	720	PS	7000
165	0.168040057010971	0.100500746596508	0.0764942741981156	0.0654184404668874	A11	2160	720	PS	6000
