	V1	error	rep	config	gwas_size	test_size	L	type
230	38	0.998347421814652	B5	C2	1000	100	10000	PC1
231	39	0.999863797416707	B5	C2	1000	1000	1000	PC1
232	40	0.99999709395774	B5	C2	1000	1000	10000	PC1
233	41	0.999174792484421	B5	C2	1000	10000	1000	PC1
234	42	0.999314227645408	B5	C2	1000	10000	10000	PC1
235	43	0.999971123978436	B5	C2	10000	100	1000	PC1
236	44	0.999966937185707	B5	C2	10000	100	10000	PC1
237	45	0.99993572385533	B5	C2	10000	1000	1000	PC1
238	46	0.999997805868641	B5	C2	10000	1000	10000	PC1
239	47	0.99996474524449	B5	C2	10000	10000	1000	PC1
240	48	0.999983083713806	B5	C2	10000	10000	10000	PC1
241	1	0.17504492123743	B6	C1	1000	100	1000	FGr
242	2	0.0215733040528465	B6	C1	1000	100	10000	FGr
243	3	0.108087715470723	B6	C1	1000	1000	1000	FGr
244	4	0.0125720714787966	B6	C1	1000	1000	10000	FGr
245	5	0.0997220768481403	B6	C1	1000	10000	1000	FGr
246	6	0.0110398357515715	B6	C1	1000	10000	10000	FGr
247	7	0.187687164356591	B6	C1	10000	100	1000	FGr
248	8	0.0224617055277918	B6	C1	10000	100	10000	FGr
249	9	0.108096387546209	B6	C1	10000	1000	1000	FGr
250	10	0.0125326284239025	B6	C1	10000	1000	10000	FGr
251	11	0.107255392212313	B6	C1	10000	10000	1000	FGr
252	12	0.011314818633944	B6	C1	10000	10000	10000	FGr
253	13	0.997608687676058	B6	C2	1000	100	1000	FGr
254	14	0.997107679141896	B6	C2	1000	100	10000	FGr
255	15	0.99843185143008	B6	C2	1000	1000	1000	FGr
256	16	0.999791017332968	B6	C2	1000	1000	10000	FGr
257	17	0.999843457833897	B6	C2	1000	10000	1000	FGr
258	18	0.999999150526911	B6	C2	1000	10000	10000	FGr
259	19	0.999867696352942	B6	C2	10000	100	1000	FGr
260	20	0.999984580777	B6	C2	10000	100	10000	FGr
261	21	0.999933853703243	B6	C2	10000	1000	1000	FGr
262	22	0.999991419440182	B6	C2	10000	1000	10000	FGr
263	23	0.999825733472483	B6	C2	10000	10000	1000	FGr
264	24	0.999711411638101	B6	C2	10000	10000	10000	FGr
265	25	0.107738982224138	B6	C1	1000	100	1000	PC1
266	26	0.0120183970269556	B6	C1	1000	100	10000	PC1
267	27	0.108170249203049	B6	C1	1000	1000	1000	PC1
268	28	0.0126252460645431	B6	C1	1000	1000	10000	PC1
269	29	0.108188936198795	B6	C1	1000	10000	1000	PC1
270	30	0.0128999286625902	B6	C1	1000	10000	10000	PC1
271	31	0.101321956971407	B6	C1	10000	100	1000	PC1
272	32	0.0112077763518514	B6	C1	10000	100	10000	PC1
273	33	0.0980524913086167	B6	C1	10000	1000	1000	PC1
274	34	0.0113013094767562	B6	C1	10000	1000	10000	PC1
275	35	0.107167628571333	B6	C1	10000	10000	1000	PC1
276	36	0.0112968328583871	B6	C1	10000	10000	10000	PC1
277	37	0.999998520657497	B6	C2	1000	100	1000	PC1
278	38	0.999863787963867	B6	C2	1000	100	10000	PC1
279	39	0.998874496237604	B6	C2	1000	1000	1000	PC1
280	40	0.999963877895618	B6	C2	1000	1000	10000	PC1
281	41	0.994282052223211	B6	C2	1000	10000	1000	PC1
282	42	0.997741020557	B6	C2	1000	10000	10000	PC1
283	43	0.999953549169299	B6	C2	10000	100	1000	PC1
284	44	0.999980310835879	B6	C2	10000	100	10000	PC1
285	45	0.999957227693267	B6	C2	10000	1000	1000	PC1
286	46	0.999822778174508	B6	C2	10000	1000	10000	PC1
287	47	0.999917794258268	B6	C2	10000	10000	1000	PC1
288	48	0.999999664892717	B6	C2	10000	10000	10000	PC1
289	1	0.204549560756871	B7	C1	1000	100	1000	FGr
290	2	0.0220834619310804	B7	C1	1000	100	10000	FGr
291	3	0.119764515701136	B7	C1	1000	1000	1000	FGr
