	V1	error	rep	config	gwas_size	test_size	L	type
382	22	0.113809918462361	C16	C1	1000	1000	38200	PC1
383	23	0.070249757823317	C16	C1	1000	1000	61800	PC1
384	24	0.0453990198694375	C16	C1	1000	1000	1e+05	PC1
385	1	0.991189491306985	C17	C1	1000	1000	500	FGr
386	2	0.986895398869703	C17	C1	1000	1000	810	FGr
387	3	0.995152998357241	C17	C1	1000	1000	1320	FGr
388	4	0.991165434200946	C17	C1	1000	1000	2100	FGr
389	5	0.965276124743521	C17	C1	1000	1000	3400	FGr
390	6	0.974648131983436	C17	C1	1000	1000	5500	FGr
391	7	0.936165857582597	C17	C1	1000	1000	9000	FGr
392	8	0.949904143547984	C17	C1	1000	1000	14600	FGr
393	9	0.829962429445919	C17	C1	1000	1000	23600	FGr
394	10	0.784434015045342	C17	C1	1000	1000	38200	FGr
395	11	0.694577441819458	C17	C1	1000	1000	61800	FGr
396	12	0.591696088469746	C17	C1	1000	1000	1e+05	FGr
397	13	0.995936846688185	C17	C1	1000	1000	500	PC1
398	14	0.998023321653771	C17	C1	1000	1000	810	PC1
399	15	0.993759267820586	C17	C1	1000	1000	1320	PC1
400	16	0.993011044468706	C17	C1	1000	1000	2100	PC1
401	17	0.756946076007693	C17	C1	1000	1000	3400	PC1
402	18	0.512194845611486	C17	C1	1000	1000	5500	PC1
403	19	0.463271367126597	C17	C1	1000	1000	9000	PC1
404	20	0.300994673635077	C17	C1	1000	1000	14600	PC1
405	21	0.184413015174803	C17	C1	1000	1000	23600	PC1
406	22	0.115561774011561	C17	C1	1000	1000	38200	PC1
407	23	0.068729190680164	C17	C1	1000	1000	61800	PC1
408	24	0.0430957882928618	C17	C1	1000	1000	1e+05	PC1
409	1	0.999750415704283	C18	C1	1000	1000	500	FGr
410	2	0.989765504352191	C18	C1	1000	1000	810	FGr
411	3	0.979477469542155	C18	C1	1000	1000	1320	FGr
412	4	0.962747408433092	C18	C1	1000	1000	2100	FGr
413	5	0.976673049279951	C18	C1	1000	1000	3400	FGr
414	6	0.982348236239893	C18	C1	1000	1000	5500	FGr
415	7	0.956117653922391	C18	C1	1000	1000	9000	FGr
416	8	0.915397590567416	C18	C1	1000	1000	14600	FGr
417	9	0.876103151929643	C18	C1	1000	1000	23600	FGr
418	10	0.806250645267487	C18	C1	1000	1000	38200	FGr
419	11	0.752891173298282	C18	C1	1000	1000	61800	FGr
420	12	0.654917040352954	C18	C1	1000	1000	1e+05	FGr
421	13	0.995239517189018	C18	C1	1000	1000	500	PC1
422	14	0.996217667235164	C18	C1	1000	1000	810	PC1
423	15	0.97948613567036	C18	C1	1000	1000	1320	PC1
424	16	0.761998141059877	C18	C1	1000	1000	2100	PC1
425	17	0.854219290524506	C18	C1	1000	1000	3400	PC1
426	18	0.60646191494128	C18	C1	1000	1000	5500	PC1
427	19	0.38261742449591	C18	C1	1000	1000	9000	PC1
428	20	0.266978822535949	C18	C1	1000	1000	14600	PC1
429	21	0.1744289320111	C18	C1	1000	1000	23600	PC1
430	22	0.104123984074287	C18	C1	1000	1000	38200	PC1
431	23	0.0714637626598664	C18	C1	1000	1000	61800	PC1
432	24	0.0475544731592676	C18	C1	1000	1000	1e+05	PC1
433	1	0.999375400908637	C19	C1	1000	1000	500	FGr
434	2	0.998906603315409	C19	C1	1000	1000	810	FGr
435	3	0.985557003572677	C19	C1	1000	1000	1320	FGr
436	4	0.995736393730268	C19	C1	1000	1000	2100	FGr
437	5	0.975983267090404	C19	C1	1000	1000	3400	FGr
438	6	0.9706560274083	C19	C1	1000	1000	5500	FGr
439	7	0.955770607672081	C19	C1	1000	1000	9000	FGr
440	8	0.899338556996721	C19	C1	1000	1000	14600	FGr
441	9	0.880712654203641	C19	C1	1000	1000	23600	FGr
442	10	0.772551145131049	C19	C1	1000	1000	38200	FGr
443	11	0.709560364162802	C19	C1	1000	1000	61800	FGr
444	12	0.580464853429278	C19	C1	1000	1000	1e+05	FGr
445	13	0.999913115506489	C19	C1	1000	1000	500	PC1
446	14	0.998286615024722	C19	C1	1000	1000	810	PC1
